ContentID,Title,Type,Genre,Language,Country,Director,CastCount,ReleaseYear,AddedDate,RuntimeMinutes,EpisodeCount,AgeRating,IMDbScore,ViewsMillions,WatchHoursMillions,AvgCompletionPct,AwardsWon,ProductionCostCr,RevenueCr,SubscribersGainedThousands,TrendingStatus,CriticRating
CS-0061,Whispering Hunter of the Lost,Series,Comedy,English,Australia,Various,6,2022,2021-08-25,1320,24,U/A 7+,7.5,11.52,172.34,68,1,43.7,16.3,5184,Popular,8.8
CS-0062,Game Sacred of the North,Movie,Romance,Korean,South Korea,Vikram Lopez,4,2015,2020-06-23,157,1,A,7.0,15.93,22.09,53,2,13.4,12.9,9267,Classic,6.9
CS-0063,Crimson Shadow of Sound,Documentary,Kids,Hindi,India,Sophia Joshi,5,2024,2024-05-19,102,1,A,5.5,2.58,2.11,48,0,10.5,5.0,1755,Classic,5.6
CS-0064,Crown Distant,Movie,Reality,Korean,South Korea,Carla Yilmaz,3,2015,2020-11-24,126,1,U/A 13+,7.4,6.47,7.47,55,2,20.7,11.2,4611,Classic,7.0
CS-0065,River Forbidden II,Movie,Comedy,Hindi,India,Asha Jones,10,2021,2023-07-04,101,1,U/A 13+,7.7,13.37,11.03,49,2,36.6,20.3,2451,New,5.6
CS-0066,Broken Diary of Stone,Movie,Action,English,Canada,Priya Menon,10,2019,2020-09-18,160,1,A,6.3,33.73,69.26,77,0,48.2,42.2,-32,Popular,5.5
CS-0067,Verdict Crimson of Stone,Series,Reality,Spanish,Spain,Vikram Patel,5,2016,2021-03-11,330,6,U/A 13+,7.0,11.31,37.95,61,1,70.2,20.2,-1000,Popular,7.5
CS-0068,Last Hour of the Lost,series,Drama ,Korean,South Korea,Arjun Bose,13,2021,2023-03-24,720,16,U/A 13+,5.3,12.69,79.19,52,0,21.4,27.5,-1000,Popular,5.2
CS-0069,Garden Broken,Documentary,Comedy ,Tamil ,India,Diego Khan,3,2019,2024-01-13,252,6,U/A 13+,6.9,0.2,0.39,46,2,9.1,3.4,1536,Popular,5.5
CS-0070,Verdict Hidden of the Lost,Movie,Romance,Bengali,India,Kavya Yilmaz,15,2017,2024-10-29,147,1,U/A 16+,6.5,4.11,8.46,84,0,15.5,3.6,3500,Classic,6.1
CS-0071,Witness Midnight: Reborn,movie,Drama,Malayalam,India,Liam Patel,14,2024,2021-11-11,162,1,U/A 16+,7.6,19.05,36.0,70,1,48.0,24.7,3774,Popular,7.4
CS-0072,Empire Golden of the North,Series,Reality ,Hindi,India,Liam Menon,7,2023,2023-11-03,1080,24,U/A 13+,6.2,18.94,214.78,63,0,40.8,34.1,3611,Classic,5.6
CS-0073,Sacred Garden of Stone,Movie,Reality,Telugu,India,Neha Kumar,10,2019,2024-12-17,151,1,U/A 13+,6.3,10.59,15.19,57,0,40.0,16.1,92,Popular,6.4
CS-0074,Frozen Promise,Movie,Kids,Telugu,India,Yuki Bose,7,2016,2020-03-09,111,1,A,4.9,8.55,6.17,39,0,29.4,15.8,-1000,Classic,5.7
CS-0075,Last Empire III,Series,Animation,Tamil,India,Various,14,2016,2024-11-02,720,16,A,6.9,11.06,73.0,55,2,117.1,18.6,5949,Popular,7.2
CS-0076,Endless Promise II,Series,Drama,English,Australia,Kavya Park,6,2015,2020-07-25,176,8,A,6.1,6.61,8.92,46,0,32.5,5.1,839,Popular,6.5
CS-0077,Shadow Last of Sound,Movie,Thriller,Hindi,India,Carla Jones,5,2024,2024-11-10,132,1,A,7.8,26.5,50.14,86,4,48.5,41.1,1468,Popular,8.0
CS-0078,Crimson Mirror of Sound,Documentary,Romance,English,UK,Diego Menon,11,2017,2020-02-22,96,1,U/A 16+,5.9,5.94,5.7,60,0,10.2,12.1,6621,Trending,7.4
CS-0079,Bridge Lost: Origins,Stand-up,Thriller,Hindi,India,Kavya Jones,9,2019,2022-05-01,55,1,U,6.9,7.8,4.36,61,1,3.5,7.9,774,Trending,7.2
CS-0080,Eternal Heir,Series,Comedy,Hindi,India,Hyun Kim,14,2016,2024-08-24,300,6,U/A 16+,5.8,8.15,18.75,46,0,93.9,13.1,2027,Trending,6.3
CS-0081,Hour Hidden: Reborn,Movie,Animation,Hindi,India,Neha Smith,15,2019,2021-05-23,108,1,U/A 16+,7.3,16.6,16.73,56,0,45.3,34.7,1757,Classic,7.8
CS-0082,Silent City,movie,Kids,Hindi,India,Emre Menon,7,2023,2020-10-02,87,1,U/A 13+,7.4,26.84,27.24,70,2,48.2,43.0,4290,Classic,7.0
CS-0083,Bright River of Stone,Movie,Action,Kannada,India,James Pillai,3,2015,2021-07-13,100,1,U/A 13+,5.4,0.2,0.19,56,0,51.3,0.2,-1000,Popular,4.6
CS-0084,Quiet Empire of the North,Series,Sci-Fi,English,Canada,Various,11,2021,2024-09-22,1400,40,U/A 16+,5.9,9.93,118.17,51,0,51.8,20.8,1441,Classic,6.6
CS-0085,Crimson Bridge of the Lost,Stand-up,Animation,Malayalam,India,Mira Patel,8,2015,2020-03-11,86,1,U/A 16+,8.3,17.29,12.64,51,1,3.7,15.2,5344,Trending,8.0
CS-0086,Garden Bright of Stone,Series,Comedy,Tamil,India,Riya Park,11,2023,2020-09-26,1800,40,U/A 16+,7.3,14.83,355.92,80,1,35.4,21.2,2967,Popular,6.3
CS-0087,Wild Shadow,Movie,Horror,Japanese,Japan,Riya Park,13,2021,2020-01-25,130,1,U/A 7+,7.9,18.3,23.79,60,3,43.8,17.1,3289,Trending,6.3
CS-0088,Shattered City,Documentary,Horror ,English,Canada,Carla Bose,9,2017,2023-10-15,99,1,U/A 16+,6.5,9.44,12.46,80,2,15.5,22.6,4302,Classic,6.2
CS-0089,Quiet Witness of the North,Movie,Romance,Spanish,Spain,James Park,7,2024,2020-08-15,133,1,A,6.7,7.03,7.95,51,1,11.8,13.0,2056,Trending,6.3
CS-0090,Wild Garden of the North,Series,Sci-Fi,English,UK,Sophia Brown,10,2020,2021-02-22,880,40,U,3.7,0.2,2.02,69,0,95.4,0.2,-1000,Classic,2.7
CS-0091,Heir Wild,Movie,Sci-Fi,Tamil,India,Rohan Patel,11,2023,2023-03-21,104,1,A,8.2,20.15,17.46,50,3,51.0,33.7,4905,Classic,8.3
CS-0092,Heir Dark II,Series,Kids,English,UK,Anand Patel,9,2023,2021-01-20,220,10,U/A 16+,7.8,13.85,28.95,57,4,58.3,15.2,574,Popular,8.4
CS-0093,Endless Witness: Origins,Movie,Kids,Tamil,India,Priya Yilmaz,3,2017,2023-03-22,110,1,U/A 13+,7.5,21.23,24.13,62,1,43.7,32.0,4819,Classic,5.8
CS-0094,Eternal Empire: Origins,Movie,Action,Korean,South Korea,Neha Kumar,5,2024,2020-05-09,129,1,U/A 7+,5.7,6.07,6.66,51,0,52.3,11.1,1904,Popular,5.5
CS-0095,Frozen Cipher of Sound,Stand-up,Animation,Turkish,Turkey,Asha Brown,11,2016,2021-05-12,88,1,U/A 13+,6.8,8.25,6.05,50,3,0.5,12.7,3200,Popular,6.1
CS-0096,Hidden River II,Movie,Sci-Fi,Telugu,India,Sanjay Sato,10,2021,2021-01-26,144,1,U/A 13+,7.5,18.17,28.35,65,1,21.3,16.9,3593,Popular,6.8
CS-0097,Quiet Voyage II,Series,Reality,Hindi,India,Rohan Sato,7,2022,2022-10-30,360,8,U/A 16+,10.0,22.99,88.28,64,5,97.0,36.2,7489,New,10.0
CS-0098,The Voyage of the North,Series,Comedy,Korean,South Korea,Various,8,2018,2021-10-19,176,8,U,8.3,35.2,56.79,55,3,40.4,66.1,6987,Classic,8.4
CS-0099,Storm Lost of the Lost,Movie,Sci-Fi,Kannada,India,Priya Brown,3,2020,2022-04-24,88,1,U/A 16+,6.7,7.46,7.0,64,0,27.4,5.9,1463,Classic,6.2
CS-0100,Last Hunter,Movie,Comedy,Telugu,India,Priya Garcia,12,2018,2023-03-13,148,1,U/A 16+,5.3,4.55,7.18,64,0,20.1,2.7,2672,Popular,3.5
CS-0101,Shadow Sacred,Series,Action,English,Australia,Hyun Bose,10,2024,2024-08-24,400,8,U,8.1,18.82,102.88,82,2,56.0,33.2,106,New,9.3
CS-0102,Endless Echo of Stone,Stand-up,Thriller,Telugu,India,Hyun Park,5,2018,2020-05-01,55,1,U/A 13+,7.6,14.04,8.62,67,2,3.8,27.3,3127,Popular,6.7
CS-0103,Wild Letter,Series,Action,Telugu,India,Various,4,2017,2023-10-18,800,16,A,7.6,11.69,104.43,67,4,94.5,13.8,4217,Classic,7.1
CS-0104,Hidden Empire: Reborn,Movie,Animation,Hindi,India,Yuki Yilmaz,14,2020,2024-02-22,157,1,U/A 13+,7.5,5.72,5.69,38,0,37.2,6.4,3103,Popular,7.5
CS-0105,Quiet Storm,Movie,Comedy,Japanese,Japan,Vikram Joshi,3,2023,2024-09-28,172,1,U/A 7+,7.4,2.68,4.69,61,1,48.1,4.5,7902,Popular,6.2
CS-0106,Shadow Distant III,Movie,Comedy,Turkish,Turkey,Emre Jones,3,2024,2023-04-05,165,1,U,6.7,11.38,15.96,51,0,51.2,8.5,5246,Popular,6.7
CS-0107,Golden Garden of Stone,Series,Kids,Kannada,India,,5,2020,2020-05-08,660,12,A,7.8,31.3,216.91,63,2,75.0,50.2,915,New,6.3
CS-0108,Letter Frozen,Series,Reality,Telugu,India,Various,12,2020,2022-09-11,400,16,U/A 13+,6.6,3.38,17.58,78,1,63.4,7.2,1429,Classic,6.4
CS-0109,Silent Crown of Sound,Movie,Thriller,Telugu,India,Sophia Iyer,15,2016,2021-03-29,117,1,U/A 16+,7.6,29.61,34.64,60,1,13.9,52.3,4948,Classic,8.4
CS-0110,City Forbidden,Movie,Horror,Telugu,India,Asha Roy,14,2018,2023-02-27,145,1,U/A 16+,6.2,19.24,33.01,71,1,39.6,24.5,5296,Popular,6.0
CS-0111,Sacred Echo: Origins,Movie,Sci-Fi,Korean,South Korea,Diego Joshi,7,2015,2024-08-17,117,1,U/A 7+,5.7,16.56,22.93,71,0,57.9,12.6,2100,New,5.6
CS-0112,The Hour of the North,Movie,Romance,Hindi,India,Sanjay Lee,11,2023,2021-08-16,172,1,U/A 16+,6.5,17.49,21.56,43,0,95.1,31.8,2072,Trending,7.3
CS-0113,Whispering Game,Series,Animation,Japanese,Japan,Karan Sharma,8,2022,2022-03-16,400,8,U/A 13+,6.1,17.12,60.49,53,0,45.3,32.7,571,Classic,5.2
CS-0114,Verdict Last of Sound,Series,Comedy,English,Canada,Carla Roy,8,2016,2022-10-21,1400,40,U/A 16+,8.1,1.85,25.9,60,3,59.6,7.3,5329,Classic,5.8
CS-0115,Light Midnight,Series,Kids,Korean,South Korea,Various,13,2018,2021-12-18,2200,40,U/A 13+,7.9,23.09,406.38,48,6,31.5,31.8,4812,Popular,7.3
CS-0116,Witness Hidden: Reborn,Movie,Romance,English,Canada,Olivia Smith,5,2016,2021-01-24,159,1,A,7.5,12.13,18.32,57,1,50.6,27.6,2382,Classic,5.7
CS-0117,Crown The,Movie,Horror,Tamil,India,Min-jun Yilmaz,3,2024,2021-08-01,149,1,U/A 16+,7.6,30.89,59.83,78,2,63.0,64.8,6322,Popular,7.7
CS-0118,Promise Whispering II,Movie,Reality,Kannada,India,Anand Smith,12,2020,2020-12-23,92,1,A,7.5,18.98,16.59,57,0,15.3,41.4,-889,Classic,8.6
CS-0119,The Storm II,Movie,Kids,Bengali,India,Carla Patel,13,2016,2022-01-02,131,1,U/A 13+,5.6,4.04,3.18,36,0,22.4,7.2,-402,Popular,4.9
CS-0120,Forbidden Cipher: Reborn,Movie,Drama,Telugu,India,Kavya Khan,12,2016,2023-09-04,131,1,U/A 7+,5.2,0.2,0.18,42,1,29.6,1.8,2553,Popular,5.8
CS-0121,Sacred Code,Movie,Animation,Hindi,India,Sophia Brown,13,2020,2024-06-27,134,1,U/A 13+,5.9,23.87,36.78,69,1,58.1,31.2,2979,Classic,6.8
CS-0122,Crown Wild: Reborn,Movie,Sci-Fi,Bengali,India,Karan Sharma,10,2019,2021-09-03,148,1,U/A 13+,7.5,13.77,20.04,59,3,8.2,18.7,3905,Popular,5.3
CS-0123,Bright Shadow of the North,Series,Thriller,Korean,South Korea,Various,5,2020,2020-04-04,1080,24,U/A 7+,9.3,9.22,116.17,70,5,122.1,13.2,10887,Classic,10.0
CS-0124,Code Quiet of the Lost,Documentary,Drama,Telugu,India,Olivia Bose,11,2018,2024-06-10,62,1,U/A 7+,8.5,15.35,9.2,58,3,2.3,14.9,6090,Popular,8.0
CS-0125,Hunter Forbidden,Stand-up,Kids,English,Australia,Riya Khan,3,2016,2021-12-16,58,1,A,7.8,18.81,14.55,80,3,4.2,44.9,4539,Popular,9.2
CS-0126,Dark City: Reborn,Series,Horror,Tamil,India,James Joshi,6,2023,,250,10,U/A 13+,7.6,12.42,36.74,71,5,144.1,15.1,-448,Popular,5.9
CS-0127,Empire Quiet,Series,Sci-Fi,Kannada,India,James Tanaka,7,2022,2023-01-29,720,16,A,8.8,25.88,239.13,77,3,0.5,29.7,1468,Classic,8.5
CS-0128,Game Wild of the Lost,Documentary,Romance,English,Australia,Sanjay Park,5,2020,2022-12-05,300,6,U/A 16+,5.9,11.35,30.65,54,0,5.2,10.5,2601,Classic,6.4
CS-0129,Sacred Bridge,Movie,Comedy,Kannada,India,Hyun Bose,3,2021,2020-07-29,131,1,U/A 13+,7.4,8.23,10.24,57,2,0.5,17.1,8859,New,5.3
CS-0130,Heir Midnight: Origins,Series,Romance,Hindi,India,Various,5,2018,2020-01-02,264,12,U/A 16+,7.3,13.31,43.92,75,2,48.5,16.6,733,New,7.5
CS-0131,Code Bright II,Movie,Drama,Kannada,India,Karan Iyer,4,2019,2022-04-15,140,1,U/A 16+,7.4,10.48,12.23,50,3,45.2,27.1,2941,Classic,6.1
CS-0132,Diary The of Sound,Movie,Reality,Tamil,India,James Sato,3,2022,2023-12-06,140,1,U/A 13+,8.2,5.61,9.16,70,2,42.5,11.0,6528,Classic,6.6
CS-0133,River Hidden III,Movie,Action,Telugu,India,Sophia Kumar,13,2015,2020-07-27,148,1,U,7.0,4.69,8.91,77,2,30.1,6.2,252,Classic,5.5
CS-0134,Endless Cipher,Movie,Action,English,Canada,Priya Menon,11,2019,2023-02-12,135,1,U/A 13+,7.7,16.93,24.76,65,1,68.1,33.4,5382,Popular,6.8
CS-0135,Midnight Shadow of the North,Movie,Kids,Malayalam,India,Emre Park,6,2020,2020-01-18,153,1,U,9.0,22.52,44.79,78,4,24.1,27.1,6804,Classic,7.9
CS-0136,Crimson Garden of the Lost,Series,Animation,Hindi,India,Arjun Iyer,3,2023,2024-02-18,1080,24,U/A 13+,6.3,8.34,54.04,36,0,24.9,7.1,2699,New,4.4
CS-0137,Storm Last of Sound,Documentary,Comedy,Hindi,India,Karan Brown,5,2022,2021-08-24,97,1,U/A 16+,6.5,0.2,0.17,54,1,6.7,1.9,1727,Classic,6.5
CS-0138,Crimson City,Movie,Sci-Fi,Kannada,India,Rohan Menon,10,2016,2020-03-20,130,1,U/A 7+,10.0,56.63,68.71,56,7,27.1,70.8,5548,New,10.0
CS-0139,Distant Cipher,Series,Thriller,Telugu,India,Various,4,2019,2020-03-07,352,16,A,5.5,21.95,64.39,50,0,43.6,21.9,3293,Classic,6.0
CS-0140,Verdict Quiet,Movie,Drama,Hindi,India,Karan Sharma,13,2024,2020-07-18,137,1,U/A 16+,8.7,32.3,59.0,80,3,48.5,58.2,6593,Classic,8.9
CS-0141,Wild River,Movie,Romance,Telugu,India,Neha Roy,3,2016,2021-10-26,144,1,U/A 13+,6.7,12.22,16.72,57,3,30.3,31.2,5760,Classic,6.2
CS-0142,Wild Garden of the North,Series,Comedy,Korean,South Korea,Rohan Lopez,8,2015,2022-05-18,500,10,U/A 7+,5.7,3.53,14.71,50,0,42.0,3.5,1546,Classic,4.2
CS-0143,Letter Hidden,Series,Animation,Telugu,India,Rohan Sharma,15,2017,2020-01-23,450,10,U/A 16+,8.9,29.24,171.05,78,5,86.7,61.1,9960,Popular,10.0
CS-0144,Verdict Whispering II,Movie,Drama,Korean,South Korea,Priya Park,15,2021,2020-07-08,168,1,U/A 16+,6.2,7.42,12.67,61,2,29.4,16.3,4964,Classic,7.3
